country,election_year,source_table,date_raw,marker_text,marker_relevance,marker_party_rows,national_overlap_parties,marker_mae,marker_max_abs_error,matched_parties
uk,2017,uk_2017_table21.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,4,3,14.007060316551827,22.644448162387842,CON|LAB|LIB
uk,2017,uk_2017_table22.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,5,3,6.869653649144887,9.955551837612155,CON|LAB|LIB
uk,2017,uk_2017_table22.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,4,3,2.397013017521779,4.834929051454928,CON|LAB|LIB
uk,2017,uk_2017_table23.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,4,3,13.026273016781508,21.688338161277432,CON|LAB|LIB
uk,2017,uk_2017_table23.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,3,3,9.792939683448173,16.25555183761216,CON|LAB|LIB
uk,2017,uk_2017_table3.csv,7 May 2015,7 May 2015 | 2015 general election[f],historical_other_year,6,3,4.689238458373402,8.788338161277434,CON|LAB|LIB
uk,2017,uk_2017_table4.csv,8 Jun 2017,8 Jun 2017 | 2017 general election[g],explicit_current_year,6,3,0.8007142425965513,1.1555518376121583,CON|LAB|LIB
uk,2017,uk_2017_table7.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,6,3,14.422571791706735,27.444448162387843,CON|LAB|LIB
uk,2017,uk_2017_table7.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,6,3,9.065952424070113,13.74444816238784,CON|LAB|LIB
uk,2017,uk_2017_table8.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,6,3,6.365952424070116,15.144448162387842,CON|LAB|LIB
uk,2017,uk_2017_table8.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,6,3,6.840393649885159,8.911661838722566,CON|LAB|LIB
uk,2017,uk_2017_table9.csv,7 May 2015,7 May 2015 | 2015 general election,historical_other_year,5,0,,,
uk,2017,uk_2017_table9.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,explicit_current_year,5,0,,,
uk,2019,uk_2019_table10.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,4,0,,,
uk,2019,uk_2019_table10.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,4,0,,,
uk,2019,uk_2019_table11.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,4,3,10.334357881571597,16.023359418706313,CON|LAB|LIB
uk,2019,uk_2019_table11.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,5,3,11.898503357842317,22.423359418706312,CON|LAB|LIB
uk,2019,uk_2019_table12.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,6,3,6.831836691175653,10.523359418706313,CON|LAB|LIB
uk,2019,uk_2019_table12.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,5,3,13.198503357842318,23.523359418706313,CON|LAB|LIB
uk,2019,uk_2019_table13.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,6,3,7.998503357842317,14.32335941870631,CON|LAB|LIB
uk,2019,uk_2019_table13.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,5,3,12.131836691175652,22.923359418706312,CON|LAB|LIB
uk,2019,uk_2019_table14.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,6,3,3.6318366911756503,6.723359418706309,CON|LAB|LIB
uk,2019,uk_2019_table14.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,5,3,8.865170024508984,17.023359418706313,CON|LAB|LIB
uk,2019,uk_2019_table15.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,6,3,5.098975451761738,11.27406755958544,CON|LAB|LIB
uk,2019,uk_2019_table15.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,5,3,7.614548397565945,8.423359418706312,CON|LAB|LIB
uk,2019,uk_2019_table16.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,6,3,5.114548397565945,9.874067559585441,CON|LAB|LIB
uk,2019,uk_2019_table16.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,5,3,7.714548397565946,10.523359418706313,CON|LAB|LIB
uk,2019,uk_2019_table17.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,6,3,7.66816330882435,13.574067559585444,CON|LAB|LIB
uk,2019,uk_2019_table17.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,5,3,5.147881730899279,11.074067559585444,CON|LAB|LIB
uk,2019,uk_2019_table18.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,5,3,9.101496642157683,10.574067559585444,CON|LAB|LIB
uk,2019,uk_2019_table18.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,5,3,5.198975451761736,11.174067559585438,CON|LAB|LIB
uk,2019,uk_2019_table19.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,5,3,8.20149664215768,9.27406755958544,CON|LAB|LIB
uk,2019,uk_2019_table19.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,5,3,4.734829975491015,7.874067559585441,CON|LAB|LIB
uk,2019,uk_2019_table2.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,7,3,0.3837362546285572,0.5240675595854469,CON|LAB|LIB
uk,2019,uk_2019_table21.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,5,3,6.9478817308992795,12.023359418706313,CON|LAB|LIB
uk,2019,uk_2019_table21.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,4,3,10.065170024508985,19.82335941870631,CON|LAB|LIB
uk,2019,uk_2019_table22.csv,12 Dec 2019,12 Dec 2019 | 2019 general election,explicit_current_year,5,3,20.834357881571595,28.12593244041456,CON|LAB|LIB
uk,2019,uk_2019_table22.csv,8 Jun 2017,8 Jun 2017 | 2017 general election,historical_other_year,4,3,21.634357881571592,27.325932440414558,CON|LAB|LIB
